Action,Bytes Sent,Bytes Received,Elapsed Time (sec),Destination Port_80,Destination Port_443,Destination Port_445,Destination Port_25174,Destination Port_Other,NAT Source Port_48817,NAT Source Port_50116,NAT Source Port_57596,NAT Source Port_58638,NAT Source Port_Other,NAT Destination Port_53,NAT Destination Port_80,NAT Destination Port_443,NAT Destination Port_27015,NAT Destination Port_Other
allow,3390,1075,30,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,78,132,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,78,133,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,90,126,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,102,93,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,3269,4643,96,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1150,12798,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,25477,8190,33,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1086,6080,87,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1541,5255,121,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,78,90,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,102,626,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,30891,31761,381,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,3253,10649,135,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,2974,5704,123,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,4633,104157,15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,3333,4643,25,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,901,10673,46,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,2603,6142,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,941,648,121,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,256,388,124,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,815,353,122,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1617,8718,124,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,6454,8044,120,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1103,5746,120,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1101,4111,123,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1101,4113,123,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1410,5789,33,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,3850148,837061,107,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,1143,4553,119,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,2812,1052,112,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,70,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,3499,1625,121,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,808,896,122,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1611,6717,121,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,192,186,122,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,7862,27274,124,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,192,126,14,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,86,82,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,62,0,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,136,180,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,5515,62568,38,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1150,12798,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,115,387,52,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1150,12798,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,94,83,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,3584,2143,31,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,769,474,123,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,102,133,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,78,153,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,26626,37265,34,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,810,7072,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,799,1292,15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1669,2498,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,94,105,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,126,250,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1568,4475,120,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,110,120,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,0,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,306,186,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,868,8190,46,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,70,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,815,7040,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,94,229,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,9311,164517,448,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,4227,10263,36,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,78,90,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,106,120,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,5975,158865,122,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,210,214,27,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1891,1512,42,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1863,6809,46,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1090,11284,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,436,428,29,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,70,134,26,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,8433,542051,246,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,8597,11078,480,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,103,663,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,506,428,29,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,94,199,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,2917,17263,124,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,2392,9947,287,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,86,0,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,224,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,102,0,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,3042,10770,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,3909,40095,135,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,164,120,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,32183,229051,212,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,110,122,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,111,279,53,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,87,166,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,330,540,2308,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,105740,8065288,149,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,14073,282790,127,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,150,331,1200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,1149,523,37,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,240,126,33,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,60,74,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,754,816,16,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,240,126,33,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,78,90,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,94,83,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,70,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,78,60,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,240,126,33,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1101,719,73,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,78,90,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
reset-both,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drop,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
deny,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
allow,1967,5989,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,10536,13044,39,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1454,1889,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,87,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,2001,6020,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,8266,1951,39,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,66,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,1840,2907,27,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,2602,6864,185,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,14149,15747,209,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,87,107,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1684,2907,28,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,5557,133121,16,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,1914,5989,15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,136,180,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,2352,4671,75,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,4284,45942,75,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1470,2907,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,2620,3692,24,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,292,214,50,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,1484,1411,15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
allow,2743,2297,185,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,66,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,66,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,358,420,43,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,94,149,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,70,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,177,60,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,90,145,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1817,1250,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,70,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,86,82,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,177,60,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,70,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,87,83,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1454,1955,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,75,0,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,82,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allow,87,107,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,1897,5679,136,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,87,107,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,89,655,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,87,126,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,115,0,31,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,87,83,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,87,130,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,87,107,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,88,613,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,330,0,1200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
allow,89,109,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,78,90,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
allow,3598,3219,143,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
allow,87,126,31,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
deny,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
