Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes Sent,Bytes Received,Elapsed Time (sec)
51059,445,0,0,drop,66,0,0
55651,445,0,0,drop,70,0,0
21268,62609,0,0,deny,146,0,0
21268,62609,0,0,deny,146,0,0
55648,445,0,0,drop,70,0,0
55646,445,0,0,drop,70,0,0
55644,445,0,0,drop,70,0,0
50980,445,0,0,drop,70,0,0
50979,445,0,0,drop,70,0,0
23758,44847,0,0,deny,62,0,0
50975,445,0,0,drop,70,0,0
53324,44847,0,0,deny,66,0,0
50970,445,0,0,drop,70,0,0
50969,445,0,0,drop,70,0,0
53243,57470,0,0,deny,74,0,0
64776,25174,0,0,deny,66,0,0
50547,22197,0,0,deny,66,0,0
64298,50584,0,0,deny,66,0,0
30456,36237,0,0,deny,62,0,0
56816,443,16188,443,allow,1967,5989,15
52011,80,26180,80,allow,10536,13044,39
50198,3389,50198,3389,allow,1454,1889,16
56624,53,45708,53,allow,87,83,30
56813,443,32005,443,allow,2001,6020,16
52007,443,2667,443,allow,8266,1951,39
64092,14447,29856,14447,allow,66,0,5
64270,443,64270,443,allow,1840,2907,27
51163,443,48007,443,allow,2602,6864,185
52469,443,22069,443,allow,14149,15747,209
46898,53,46898,53,allow,87,107,30
53198,443,53198,443,allow,1684,2907,28
5886,80,5886,80,allow,5557,133121,16
56815,443,53722,443,allow,1914,5989,15
52270,3708,62556,3708,allow,136,180,6
52264,43015,38341,43015,allow,70,0,7
62685,443,28394,443,allow,2352,4671,75
49333,443,8337,443,allow,4284,45942,75
62892,443,62892,443,allow,1470,2907,30
50487,3389,50487,3389,allow,2620,3692,24
39430,443,21846,443,allow,292,214,50
45232,80,45232,80,allow,1484,1411,15
51164,443,28609,443,allow,2743,2297,185
64099,55470,50878,55470,allow,66,0,5
52240,52893,2825,52893,allow,66,0,5
48550,443,45303,443,allow,358,420,43
47845,53,47845,53,allow,94,149,32
52263,16350,50284,16350,allow,70,0,8
53177,8595,28264,8595,allow,70,0,9
53984,57077,2292,57077,allow,70,0,5
56674,443,44964,443,allow,177,60,5
34440,53,34440,53,allow,90,145,32
44389,443,27883,443,allow,1817,1250,16
52265,32078,35097,32078,allow,70,0,7
54996,53,39612,53,allow,86,82,35
35609,443,35165,443,allow,177,60,5
55727,43736,19578,43736,allow,70,0,5
56911,53,21649,53,allow,87,83,30
50193,3389,50193,3389,allow,1454,1955,16
49935,53,10954,53,allow,75,0,30
52852,53,0,0,allow,82,0,30
59226,53,59226,53,allow,87,107,30
60286,443,29238,443,allow,1897,5679,136
27313,53,27313,53,allow,87,107,31
55674,53,14625,53,allow,89,655,31
40814,53,40814,53,allow,87,126,31
53067,4040,59736,4040,allow,115,0,31
56730,53,30044,53,allow,87,83,31
46713,53,46713,53,allow,87,130,31
32806,53,32806,53,allow,87,107,31
56434,53,6758,53,allow,88,613,31
51221,64767,41578,64767,allow,330,0,1200
19502,53,19502,53,allow,89,109,31
53151,53,29237,53,allow,78,90,31
56086,443,31892,443,allow,3598,3219,143
27839,53,27839,53,allow,87,126,31
22835,51221,0,0,deny,62,0,0
65305,51221,0,0,deny,66,0,0
23001,64147,0,0,deny,62,0,0
52128,37807,0,0,deny,62,0,0
23632,64147,0,0,deny,66,0,0
48706,23393,0,0,deny,60,0,0
64288,53,54415,53,allow,103,295,41
52041,80,18599,80,allow,1407,1494,38
64087,80,46757,80,allow,192,122,15
56052,53,22562,53,allow,94,83,30
52150,80,40663,80,allow,300,246,32
48706,23393,0,0,deny,60,0,0
55641,445,0,0,drop,70,0,0
55642,445,0,0,drop,70,0,0
55640,445,0,0,drop,70,0,0
51050,445,0,0,drop,66,0,0
35207,22114,0,0,deny,62,0,0
55635,445,0,0,drop,70,0,0
50957,445,0,0,drop,70,0,0
51432,25174,0,0,deny,146,0,0
51047,445,0,0,drop,66,0,0
51046,445,0,0,drop,66,0,0
51045,445,0,0,drop,66,0,0
17925,26467,0,0,deny,66,0,0
34993,15503,0,0,deny,62,0,0
8040,44847,0,0,deny,66,0,0
39588,25174,0,0,deny,66,0,0
51042,445,0,0,drop,66,0,0
2978,48817,0,0,deny,66,0,0
1536,48817,0,0,deny,62,0,0
43269,50584,0,0,deny,66,0,0
33453,64147,0,0,deny,62,0,0
51414,22,0,0,deny,60,0,0
34810,25174,0,0,deny,62,0,0
50951,445,0,0,drop,70,0,0
5685,35440,0,0,deny,62,0,0
55633,445,0,0,drop,70,0,0
51598,56079,0,0,deny,66,0,0
40239,22114,0,0,deny,146,0,0
443,18368,0,0,deny,60,0,0
55622,445,0,0,drop,70,0,0
52145,80,50375,80,allow,240,126,32
50039,7000,50039,7000,allow,1659,1391,15
56717,80,40230,80,allow,104279,3790169,97
52162,443,20113,443,allow,924,537,31
52272,37105,49502,37105,allow,136,180,6
56504,53,24881,53,allow,102,96,32
64098,10096,50669,10096,allow,70,0,4
52241,51717,19106,51717,allow,70,0,4
52143,80,6472,80,allow,240,126,32
50050,443,8381,443,allow,3269,4643,95
52164,443,54936,443,allow,773,3414,30
52115,443,22081,443,allow,3870,7681,37
52147,80,1117,80,allow,240,126,32
52157,80,19874,80,allow,240,126,32
55526,80,37218,80,allow,78,0,8
52151,80,38473,80,allow,300,246,32
49359,443,64650,443,allow,7222,56272,81
60512,6881,33887,6881,allow,140,180,6
53982,24226,55007,24226,allow,70,0,4
53985,26515,42482,26515,allow,70,0,4
16965,3389,16965,3389,allow,1916,2169,18
52000,80,35679,80,allow,2064,1540,40
38717,443,31292,443,allow,18695,940170,16
56624,53,34436,53,allow,94,83,30
49795,53,44891,53,allow,94,169,30
50057,53,37422,53,allow,94,83,30
55306,53,39881,53,allow,94,83,30
52159,80,23650,80,allow,310,192,31
52153,80,26645,80,allow,240,126,32
55725,14704,64431,14704,allow,70,0,5
50711,80,19117,80,allow,1247,411,15
58304,443,13109,443,allow,1200,12242,29
58305,443,38970,443,allow,1027,10632,29
60291,53,5136,53,allow,78,0,30
56555,53,42493,53,allow,94,254,30
49436,53,61599,53,allow,94,624,30
64226,53,54672,53,allow,94,151,30
55379,443,27244,443,allow,7277,6402,262
33825,443,41237,443,allow,2233,7174,96
19763,53,19763,53,allow,82,134,32
56741,53,5499,53,allow,94,276,30
51041,80,59300,80,allow,480,1034,15
56663,53,41717,53,allow,94,87,33
56440,53,62063,53,allow,102,110,30
49961,443,64983,443,allow,7125,9765,98
52236,15313,26526,15313,allow,70,0,5
56052,53,19569,53,allow,94,83,30
53971,80,16324,80,allow,448,214,15
64196,53,65372,53,allow,94,168,30
38330,123,58815,123,allow,94,90,30
49935,53,45170,53,allow,86,82,30
55639,53,27613,53,allow,94,150,30
53470,53,29709,53,allow,78,90,30
51986,80,28001,80,allow,888,532,49
40831,80,63406,80,allow,1300,314,15
36138,443,58693,443,allow,5218,45166,99
33151,53,41502,53,allow,78,90,30
50563,53,11644,53,allow,94,624,30
50480,443,25461,443,allow,3735,53800,122
57138,443,59763,443,allow,4205,66174,403
52152,80,10469,80,allow,240,126,32
55724,45682,6518,45682,allow,70,0,5
51999,80,34655,80,allow,10970,9463,42
51934,443,39970,443,allow,2891,6844,82
56521,53,35277,53,allow,86,219,30
50056,27018,7128,27018,allow,390,78,30
65078,53,19268,53,allow,94,83,30
55999,443,53262,443,allow,2078,43554,120
43088,5228,50878,5228,allow,1753,2955,4133
37647,443,55661,443,allow,19797,677584,106
58424,443,8670,443,allow,4140,77155,117
52142,80,50942,80,allow,120,126,32
52155,80,52769,80,allow,240,126,32
65524,443,51488,443,allow,9210,273758,15
52163,443,4704,443,allow,773,3414,30
52161,443,17095,443,allow,924,537,31
53995,41985,42236,41985,allow,70,0,7
51221,51413,17316,51413,allow,150,310,1200
65525,443,9387,443,allow,4799,87448,15
52080,80,40918,80,allow,21684,5416,38
52158,80,31502,80,allow,310,192,31
10151,11888,57602,11888,allow,150,341,1200
52154,80,54882,80,allow,240,126,32
49899,443,6307,443,allow,1101,719,72
53983,40500,9041,40500,allow,70,0,4
49668,443,64842,443,allow,754,534,50
64093,64828,53558,64828,allow,70,0,4
52237,16801,7817,16801,allow,70,0,5
57242,53,53275,53,allow,86,98,29
60833,443,43148,443,allow,817,340,26
32971,443,57614,443,allow,180,120,15
52027,80,10157,80,allow,8170,1562,38
56172,53,12622,53,allow,87,166,29
56663,53,55920,53,allow,94,87,30
56773,80,16432,80,allow,703,759,16
44421,443,9990,443,allow,1565,983,330
55806,53,2252,53,allow,102,98,30
17129,53,49932,53,allow,78,147,31
51404,443,29692,443,allow,2650,6426,247
36503,443,18047,443,allow,899,2650,120
53660,443,62189,443,allow,864,2091,119
54401,443,33851,443,allow,373718,11153409,144
52018,80,60048,80,allow,2667,2321,38
55726,32463,19971,32463,allow,70,0,5
50054,443,33481,443,allow,839,6791,79
56624,53,60055,53,allow,87,241,52
56667,53,36173,53,allow,94,138,30
56684,53,5087,53,allow,94,100,30
65001,53,27011,53,allow,78,122,30
56751,53,35800,53,allow,94,83,30
52127,80,9783,80,allow,1750,662,36
12939,53,12939,53,allow,82,134,32
52486,443,26318,443,allow,41661,15705,440
52238,48996,43886,48996,allow,70,0,5
55848,53,3289,53,allow,134,253,30
65484,53,10578,53,allow,86,109,30
49695,53,29724,53,allow,102,138,30
64877,53,41929,53,allow,110,99,30
43516,53,56876,53,allow,78,90,30
52865,443,19165,443,allow,6481,6658,262
50684,443,36548,443,allow,2495,4414,15
52013,80,47338,80,allow,12050,15221,38
51946,80,42668,80,allow,952,764,69
52160,80,10438,80,allow,310,192,31
52267,55982,31620,55982,allow,70,0,6
24965,53,24965,53,allow,98,149,32
52266,31225,1238,31225,allow,70,0,5
51930,443,10848,443,allow,2713,6401,82
38999,443,34634,443,allow,1983,10759,123
57986,80,48652,80,allow,682,374,15
49410,53,59985,53,allow,87,237,55
54877,53,59244,53,allow,94,105,30
49432,53,21540,53,allow,94,105,30
49743,53,1715,53,allow,94,116,30
49913,53,15271,53,allow,94,83,30
39311,443,39728,443,allow,8114,4711,269
42046,443,15950,443,allow,2175,8020,187
44323,5228,8392,5228,allow,4509,2783,6392
55072,53,55776,53,allow,94,83,30
49980,53,9358,53,allow,94,74,31
55306,53,44864,53,allow,94,83,31
47739,5228,19332,5228,allow,2143,709,121
6881,6881,13981,6881,allow,150,0,1200
65078,53,50659,53,allow,94,83,30
49980,53,26131,53,allow,78,74,30
55065,53,9474,53,allow,78,90,30
45151,53,40658,53,allow,78,90,30
55072,53,50967,53,allow,94,83,31
57470,13613,53702,13613,allow,594,983,1638
53637,443,7341,443,allow,1099,7374,119
50064,80,16215,80,allow,64,122,25
50065,80,29478,80,allow,4006,703,25
58964,80,7375,80,allow,4758,783,16
57262,53,45135,53,allow,94,0,30
53638,443,29587,443,allow,1100,990,119
28007,443,40494,443,allow,15587,15999,884
49964,53,64934,53,allow,94,655,30
49854,443,20438,443,allow,2780,2798,120
64112,24707,56635,24707,allow,66,0,8
53895,443,16317,443,allow,160846,214528,1412
56751,53,10691,53,allow,94,83,30
55563,53,42353,53,allow,94,83,30
55619,445,0,0,drop,70,0,0
3456,11392,0,0,deny,62,0,0
50942,445,0,0,drop,70,0,0
50939,445,0,0,drop,70,0,0
50941,445,0,0,drop,70,0,0
443,34920,0,0,deny,60,0,0
15774,56205,0,0,deny,66,0,0
50937,445,0,0,drop,70,0,0
443,14591,0,0,deny,131,0,0
63421,44847,0,0,deny,66,0,0
62949,37965,0,0,deny,62,0,0
55517,25174,0,0,deny,66,0,0
50935,445,0,0,drop,70,0,0
63346,37965,0,0,deny,66,0,0
42564,50584,0,0,deny,62,0,0
51032,445,0,0,drop,66,0,0
45652,10214,0,0,deny,62,0,0
33314,44847,0,0,deny,62,0,0
52470,14037,0,0,deny,66,0,0
1024,35894,0,0,deny,62,0,0
43704,37965,0,0,deny,66,0,0
48830,5900,0,0,deny,60,0,0
51024,445,0,0,drop,66,0,0
55608,445,0,0,drop,70,0,0
56039,50584,0,0,deny,62,0,0
50928,445,0,0,drop,70,0,0
59977,30188,0,0,deny,66,0,0
26884,57866,0,0,deny,74,0,0
61624,30317,0,0,deny,66,0,0
51021,445,0,0,drop,66,0,0
60141,30188,0,0,deny,66,0,0
52812,25174,0,0,deny,62,0,0
11643,81,0,0,deny,60,0,0
52769,51221,0,0,deny,62,0,0
50920,445,0,0,drop,70,0,0
11056,6881,0,0,deny,62,0,0
50917,445,0,0,drop,70,0,0
51014,445,0,0,drop,66,0,0
6666,62078,0,0,deny,60,0,0
39213,25174,0,0,deny,62,0,0
47063,15503,0,0,deny,146,0,0
56428,30317,0,0,deny,66,0,0
51007,445,0,0,drop,66,0,0
24534,50584,0,0,deny,62,0,0
50913,445,0,0,drop,70,0,0
50912,445,0,0,drop,70,0,0
42981,44847,0,0,deny,146,0,0
7151,37965,0,0,deny,66,0,0
60722,37965,0,0,deny,62,0,0
56940,5900,0,0,deny,60,0,0
65003,57470,0,0,deny,78,0,0
56366,51221,0,0,deny,66,0,0
3945,35440,0,0,deny,66,0,0
55597,445,0,0,drop,70,0,0
55595,445,0,0,drop,70,0,0
55596,445,0,0,drop,70,0,0
50996,445,0,0,drop,66,0,0
50997,445,0,0,drop,66,0,0
50998,445,0,0,drop,66,0,0
50991,445,0,0,drop,66,0,0
50995,445,0,0,drop,66,0,0
50994,445,0,0,drop,66,0,0
50993,445,0,0,drop,66,0,0
50990,445,0,0,drop,66,0,0
50908,445,0,0,drop,70,0,0
36357,25174,0,0,deny,62,0,0
64333,57470,0,0,deny,78,0,0
35319,51505,0,0,deny,62,0,0
56876,11392,0,0,deny,66,0,0
50907,445,0,0,drop,70,0,0
47141,50584,0,0,deny,62,0,0
52340,22114,0,0,deny,62,0,0
6889,5529,0,0,deny,143,0,0
5151,50584,0,0,deny,62,0,0
40988,60043,0,0,deny,146,0,0
50902,445,0,0,drop,70,0,0
55593,445,0,0,drop,70,0,0
55592,445,0,0,drop,70,0,0
55582,445,0,0,drop,70,0,0
55580,445,0,0,drop,70,0,0
20012,8443,0,0,deny,60,0,0
50978,445,0,0,drop,66,0,0
50976,445,0,0,drop,66,0,0
50975,445,0,0,drop,66,0,0
59610,51505,0,0,deny,66,0,0
64406,25174,0,0,deny,62,0,0
50506,10214,0,0,deny,66,0,0
7110,25174,0,0,deny,66,0,0
55575,445,0,0,drop,70,0,0
443,49988,0,0,deny,82,0,0
62111,35440,0,0,deny,66,0,0
60799,25174,0,0,deny,66,0,0
6666,5000,0,0,deny,60,0,0
1116,44847,0,0,deny,66,0,0
61202,35894,0,0,deny,66,0,0
55569,445,0,0,drop,70,0,0
55568,445,0,0,drop,70,0,0
55567,445,0,0,drop,70,0,0
50889,445,0,0,drop,70,0,0
35744,64147,0,0,deny,66,0,0
26424,27189,0,0,deny,66,0,0
1038,37965,0,0,deny,62,0,0
50886,445,0,0,drop,70,0,0
50127,64147,0,0,deny,62,0,0
61183,25174,0,0,deny,62,0,0
59972,25174,0,0,deny,62,0,0
55558,445,0,0,drop,70,0,0
55555,445,0,0,drop,70,0,0
55551,445,0,0,drop,70,0,0
55043,57470,0,0,deny,78,0,0
60128,22114,0,0,deny,62,0,0
14263,22114,0,0,deny,66,0,0
7521,20234,0,0,deny,157,0,0
27153,50584,0,0,deny,146,0,0
50963,445,0,0,drop,66,0,0
50882,445,0,0,drop,70,0,0
50880,445,0,0,drop,70,0,0
10669,49756,0,0,deny,60,0,0
10669,49756,0,0,deny,60,0,0
10669,49756,0,0,deny,60,0,0
10669,49756,0,0,deny,60,0,0
10669,49756,0,0,deny,60,0,0
10594,25174,0,0,deny,146,0,0
50878,445,0,0,drop,70,0,0
49001,48817,0,0,deny,160,0,0
56432,35253,0,0,deny,66,0,0
55550,445,0,0,drop,70,0,0
63321,37807,0,0,deny,66,0,0
55512,23718,0,0,deny,66,0,0
55547,445,0,0,drop,70,0,0
19875,30170,0,0,deny,145,0,0
43671,17372,0,0,deny,62,0,0
45941,23386,0,0,deny,60,0,0
50871,445,0,0,drop,70,0,0
48071,25174,0,0,deny,62,0,0
50950,445,0,0,drop,66,0,0
50947,445,0,0,drop,66,0,0
54280,3385,0,0,deny,60,0,0
47266,25174,0,0,deny,146,0,0
50869,445,0,0,drop,70,0,0
28875,51505,0,0,deny,62,0,0
36229,62413,0,0,deny,62,0,0
52225,31985,35881,31985,allow,66,0,5
52234,64624,43132,64624,allow,136,0,14
57575,443,57575,443,allow,25710,181027,180
57573,443,57573,443,allow,32338,743024,180
55410,53,27764,53,allow,87,624,30
55059,53,53925,53,allow,87,624,30
2182,53,2182,53,allow,88,555,30
55613,53,34338,53,allow,87,83,30
64775,443,64775,443,allow,1652,2907,27
52277,443,52277,443,allow,941,939,21
51493,80,21444,80,allow,736,8788,131
57570,443,57570,443,allow,28668,146544,180
52224,37178,41727,37178,allow,136,0,14
56434,53,56434,53,allow,94,149,32
52259,25011,50909,25011,allow,70,0,8
55589,443,3953,443,allow,1557,6337,150
53527,443,25088,443,allow,26326,101065,172
55893,53,56779,53,allow,87,624,30
55836,53,8077,53,allow,87,83,31
64928,53,11072,53,allow,98,664,30
56752,53,39858,53,allow,88,613,30
49241,443,49241,443,allow,6075,25703,49
60443,443,1656,443,allow,4286,6675,320
52235,48910,47820,48910,allow,136,0,14
53993,6881,30701,6881,allow,70,0,8
52221,33166,38901,33166,allow,66,0,5
56597,443,50431,443,allow,248530,9886599,64
64089,20260,49392,20260,allow,66,0,5
50895,443,61149,443,allow,70,60,5
64114,64126,30827,64126,allow,66,0,8
